GO Annotation,Taxon,Count of Proteins with Annotation,Proportion of Proteins with Annotation
gamma-tubulin complex,hirsuti-OEHI,11,0.0003930958081692456
heterotrimeric G-protein complex,hirsuti-OEHI,11,0.0003930958081692456
integral component of peroxisomal membrane,hirsuti-OEHI,11,0.0003930958081692456
midbody,hirsuti-OEHI,11,0.0003930958081692456
mitochondrial nucleoid,hirsuti-OEHI,11,0.0003930958081692456
multivesicular body membrane,hirsuti-OEHI,11,0.0003930958081692456
nuclear chromosome,hirsuti-OEHI,11,0.0003930958081692456
oligosaccharyltransferase complex,hirsuti-OEHI,11,0.0003930958081692456
phenylalanine-tRNA ligase complex,hirsuti-OEHI,11,0.0003930958081692456
postsynaptic membrane,hirsuti-OEHI,11,0.0003930958081692456
protein storage vacuole membrane,hirsuti-OEHI,11,0.0003930958081692456
translation release factor complex,hirsuti-OEHI,11,0.0003930958081692456
90S preribosome,hirsuti-OEHI,10,0.0003573598256084051
Cdc73/Paf1 complex,hirsuti-OEHI,10,0.0003573598256084051
ER membrane protein complex,hirsuti-OEHI,10,0.0003573598256084051
GARP complex,hirsuti-OEHI,10,0.0003573598256084051
MCM complex,hirsuti-OEHI,10,0.0003573598256084051
SMN-Sm protein complex,hirsuti-OEHI,10,0.0003573598256084051
VCP-NPL4-UFD1 AAA ATPase complex,hirsuti-OEHI,10,0.0003573598256084051
alpha DNA polymerase:primase complex,hirsuti-OEHI,10,0.0003573598256084051
apical plasma membrane,hirsuti-OEHI,10,0.0003573598256084051
axoneme,hirsuti-OEHI,10,0.0003573598256084051
chloroplast intermembrane space,hirsuti-OEHI,10,0.0003573598256084051
chloroplastic endopeptidase Clp complex,hirsuti-OEHI,10,0.0003573598256084051
dendrite,hirsuti-OEHI,10,0.0003573598256084051
external side of plasma membrane,hirsuti-OEHI,10,0.0003573598256084051
mRNA cleavage factor complex,hirsuti-OEHI,10,0.0003573598256084051
microtubule associated complex,hirsuti-OEHI,10,0.0003573598256084051
microtubule minus-end,hirsuti-OEHI,10,0.0003573598256084051
nuclear microtubule,hirsuti-OEHI,10,0.0003573598256084051
periplasmic space,hirsuti-OEHI,10,0.0003573598256084051
plastid envelope,hirsuti-OEHI,10,0.0003573598256084051
recycling endosome membrane,hirsuti-OEHI,10,0.0003573598256084051
tRNA-specific adenosine-34 deaminase complex,hirsuti-OEHI,10,0.0003573598256084051
transport vesicle membrane,hirsuti-OEHI,10,0.0003573598256084051
vacuolar proton-transporting V-type ATPase complex,hirsuti-OEHI,10,0.0003573598256084051
Atg1/ULK1 kinase complex,hirsuti-OEHI,9,0.0003216238430475646
CCAAT-binding factor complex,hirsuti-OEHI,9,0.0003216238430475646
CORVET complex,hirsuti-OEHI,9,0.0003216238430475646
TRAPP complex,hirsuti-OEHI,9,0.0003216238430475646
Ycf2/FtsHi complex,hirsuti-OEHI,9,0.0003216238430475646
actin filament,hirsuti-OEHI,9,0.0003216238430475646
box C/D snoRNP complex,hirsuti-OEHI,9,0.0003216238430475646
core mediator complex,hirsuti-OEHI,9,0.0003216238430475646
cytoplasmic exosome (RNase complex),hirsuti-OEHI,9,0.0003216238430475646
cytoplasmic microtubule,hirsuti-OEHI,9,0.0003216238430475646
endoplasmic reticulum chaperone complex,hirsuti-OEHI,9,0.0003216238430475646
extrinsic component of endoplasmic reticulum membrane,hirsuti-OEHI,9,0.0003216238430475646
fibrillar center,hirsuti-OEHI,9,0.0003216238430475646
glutamyl-tRNA(Gln) amidotransferase complex,hirsuti-OEHI,9,0.0003216238430475646
integral component of cytoplasmic side of endoplasmic reticulum membrane,hirsuti-OEHI,9,0.0003216238430475646
nuclear RNA-directed RNA polymerase complex,hirsuti-OEHI,9,0.0003216238430475646
nuclear pore inner ring,hirsuti-OEHI,9,0.0003216238430475646
"phosphatidylinositol 3-kinase complex, class III, type I",hirsuti-OEHI,9,0.0003216238430475646
"phosphatidylinositol 3-kinase complex, class III, type II",hirsuti-OEHI,9,0.0003216238430475646
plastid nucleoid,hirsuti-OEHI,9,0.0003216238430475646
"proteasome regulatory particle, lid subcomplex",hirsuti-OEHI,9,0.0003216238430475646
proteasome storage granule,hirsuti-OEHI,9,0.0003216238430475646
replication fork,hirsuti-OEHI,9,0.0003216238430475646
spliceosomal tri-snRNP complex,hirsuti-OEHI,9,0.0003216238430475646
AP-2 adaptor complex,hirsuti-OEHI,8,0.0002858878604867241
BRCA1-A complex,hirsuti-OEHI,8,0.0002858878604867241
Golgi-associated vesicle,hirsuti-OEHI,8,0.0002858878604867241
HAUS complex,hirsuti-OEHI,8,0.0002858878604867241
PeBoW complex,hirsuti-OEHI,8,0.0002858878604867241
R2TP complex,hirsuti-OEHI,8,0.0002858878604867241
RNA polymerase II transcription regulator complex,hirsuti-OEHI,8,0.0002858878604867241
TORC1 complex,hirsuti-OEHI,8,0.0002858878604867241
U2AF complex,hirsuti-OEHI,8,0.0002858878604867241
axon,hirsuti-OEHI,8,0.0002858878604867241
chaperone complex,hirsuti-OEHI,8,0.0002858878604867241
chloroplast stromal thylakoid,hirsuti-OEHI,8,0.0002858878604867241
clathrin coat of trans-Golgi network vesicle,hirsuti-OEHI,8,0.0002858878604867241
clathrin vesicle coat,hirsuti-OEHI,8,0.0002858878604867241
dendritic spine,hirsuti-OEHI,8,0.0002858878604867241
equatorial microtubule organizing center,hirsuti-OEHI,8,0.0002858878604867241
eukaryotic translation initiation factor 4F complex,hirsuti-OEHI,8,0.0002858878604867241
exon-exon junction complex,hirsuti-OEHI,8,0.0002858878604867241
exosome (RNase complex),hirsuti-OEHI,8,0.0002858878604867241
extrinsic component of mitochondrial inner membrane,hirsuti-OEHI,8,0.0002858878604867241
glyoxysomal membrane,hirsuti-OEHI,8,0.0002858878604867241
microtubule cytoskeleton,hirsuti-OEHI,8,0.0002858878604867241
nascent polypeptide-associated complex,hirsuti-OEHI,8,0.0002858878604867241
nuclear euchromatin,hirsuti-OEHI,8,0.0002858878604867241
nuclear heterochromatin,hirsuti-OEHI,8,0.0002858878604867241
nuclear lamina,hirsuti-OEHI,8,0.0002858878604867241
nuclear origin of replication recognition complex,hirsuti-OEHI,8,0.0002858878604867241
nuclear pore central transport channel,hirsuti-OEHI,8,0.0002858878604867241
origin recognition complex,hirsuti-OEHI,8,0.0002858878604867241
pICln-Sm protein complex,hirsuti-OEHI,8,0.0002858878604867241
plastid thylakoid membrane,hirsuti-OEHI,8,0.0002858878604867241
prefoldin complex,hirsuti-OEHI,8,0.0002858878604867241
"preribosome, small subunit precursor",hirsuti-OEHI,8,0.0002858878604867241
transcription factor TFIIH core complex,hirsuti-OEHI,8,0.0002858878604867241
ASAP complex,hirsuti-OEHI,7,0.00025015187792588357
Arp2/3 protein complex,hirsuti-OEHI,7,0.00025015187792588357
Casparian strip,hirsuti-OEHI,7,0.00025015187792588357
DNA polymerase III complex,hirsuti-OEHI,7,0.00025015187792588357
ESCRT I complex,hirsuti-OEHI,7,0.00025015187792588357
MutSbeta complex,hirsuti-OEHI,7,0.00025015187792588357
Ndc80 complex,hirsuti-OEHI,7,0.00025015187792588357
PcG protein complex,hirsuti-OEHI,7,0.00025015187792588357
Scc2-Scc4 cohesin loading complex,hirsuti-OEHI,7,0.00025015187792588357
Set1C/COMPASS complex,hirsuti-OEHI,7,0.00025015187792588357
TORC2 complex,hirsuti-OEHI,7,0.00025015187792588357
TRAMP complex,hirsuti-OEHI,7,0.00025015187792588357
VCB complex,hirsuti-OEHI,7,0.00025015187792588357
centriole,hirsuti-OEHI,7,0.00025015187792588357
chloroplast ATP synthase complex,hirsuti-OEHI,7,0.00025015187792588357
chloroplast starch grain,hirsuti-OEHI,7,0.00025015187792588357
cytoplasmic chromatin,hirsuti-OEHI,7,0.00025015187792588357
endocytic vesicle,hirsuti-OEHI,7,0.00025015187792588357
euchromatin,hirsuti-OEHI,7,0.00025015187792588357
integral component of lumenal side of endoplasmic reticulum membrane,hirsuti-OEHI,7,0.00025015187792588357
mRNA cleavage and polyadenylation specificity factor complex,hirsuti-OEHI,7,0.00025015187792588357
methylosome,hirsuti-OEHI,7,0.00025015187792588357
"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)",hirsuti-OEHI,7,0.00025015187792588357
motile cilium,hirsuti-OEHI,7,0.00025015187792588357
"proton-transporting V-type ATPase, V0 domain",hirsuti-OEHI,7,0.00025015187792588357
respiratory chain complex II,hirsuti-OEHI,7,0.00025015187792588357
root hair tip,hirsuti-OEHI,7,0.00025015187792588357
signal peptidase complex,hirsuti-OEHI,7,0.00025015187792588357
trans-Golgi network transport vesicle membrane,hirsuti-OEHI,7,0.00025015187792588357
transcription factor TFIIE complex,hirsuti-OEHI,7,0.00025015187792588357
transcription factor TFIIIC complex,hirsuti-OEHI,7,0.00025015187792588357
transcription factor TFIIK complex,hirsuti-OEHI,7,0.00025015187792588357
"vacuolar proton-transporting V-type ATPase, V0 domain",hirsuti-OEHI,7,0.00025015187792588357
DNA replication preinitiation complex,hirsuti-OEHI,6,0.00021441589536504307
Dsl1/NZR complex,hirsuti-OEHI,6,0.00021441589536504307
EKC/KEOPS complex,hirsuti-OEHI,6,0.00021441589536504307
ESC/E(Z) complex,hirsuti-OEHI,6,0.00021441589536504307
GPI-anchor transamidase complex,hirsuti-OEHI,6,0.00021441589536504307
Golgi-associated vesicle membrane,hirsuti-OEHI,6,0.00021441589536504307
"PAM complex, Tim23 associated import motor",hirsuti-OEHI,6,0.00021441589536504307
PAS complex,hirsuti-OEHI,6,0.00021441589536504307
PRC1 complex,hirsuti-OEHI,6,0.00021441589536504307
SCAR complex,hirsuti-OEHI,6,0.00021441589536504307
Ski complex,hirsuti-OEHI,6,0.00021441589536504307
TIM22 mitochondrial import inner membrane insertion complex,hirsuti-OEHI,6,0.00021441589536504307
U2-type catalytic step 1 spliceosome,hirsuti-OEHI,6,0.00021441589536504307
acetyl-CoA carboxylase complex,hirsuti-OEHI,6,0.00021441589536504307
actin filament bundle,hirsuti-OEHI,6,0.00021441589536504307
cell junction,hirsuti-OEHI,6,0.00021441589536504307
cell tip,hirsuti-OEHI,6,0.00021441589536504307
chromoplast,hirsuti-OEHI,6,0.00021441589536504307
condensed nuclear chromosome kinetochore,hirsuti-OEHI,6,0.00021441589536504307
condensin complex,hirsuti-OEHI,6,0.00021441589536504307
dynein complex,hirsuti-OEHI,6,0.00021441589536504307
etioplast membrane,hirsuti-OEHI,6,0.00021441589536504307
"eukaryotic translation initiation factor 3 complex, eIF3e",hirsuti-OEHI,6,0.00021441589536504307
extracellular matrix,hirsuti-OEHI,6,0.00021441589536504307
extrinsic component of vacuolar membrane,hirsuti-OEHI,6,0.00021441589536504307
glycerol-3-phosphate dehydrogenase complex,hirsuti-OEHI,6,0.00021441589536504307
guanyl-nucleotide exchange factor complex,hirsuti-OEHI,6,0.00021441589536504307
mitochondrial DNA-directed RNA polymerase complex,hirsuti-OEHI,6,0.00021441589536504307
mitochondrial processing peptidase complex,hirsuti-OEHI,6,0.00021441589536504307
mitochondrial proton-transporting ATP synthase complex,hirsuti-OEHI,6,0.00021441589536504307
mitotic spindle pole body,hirsuti-OEHI,6,0.00021441589536504307
nuclear pre-replicative complex,hirsuti-OEHI,6,0.00021441589536504307
nucleolar chromatin,hirsuti-OEHI,6,0.00021441589536504307
organelle membrane,hirsuti-OEHI,6,0.00021441589536504307
perikaryon,hirsuti-OEHI,6,0.00021441589536504307
peroxisomal importomer complex,hirsuti-OEHI,6,0.00021441589536504307
plastid large ribosomal subunit,hirsuti-OEHI,6,0.00021441589536504307
postsynaptic density membrane,hirsuti-OEHI,6,0.00021441589536504307
replication fork protection complex,hirsuti-OEHI,6,0.00021441589536504307
secretory granule membrane,hirsuti-OEHI,6,0.00021441589536504307
site of polarized growth,hirsuti-OEHI,6,0.00021441589536504307
small nucleolar ribonucleoprotein complex,hirsuti-OEHI,6,0.00021441589536504307
spindle midzone,hirsuti-OEHI,6,0.00021441589536504307
synaptic vesicle,hirsuti-OEHI,6,0.00021441589536504307
trans-Golgi network membrane,hirsuti-OEHI,6,0.00021441589536504307
AP-1 adaptor complex,hirsuti-OEHI,5,0.00017867991280420256
BRCA1-BARD1 complex,hirsuti-OEHI,5,0.00017867991280420256
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex",hirsuti-OEHI,5,0.00017867991280420256
ER body,hirsuti-OEHI,5,0.00017867991280420256
ESCRT II complex,hirsuti-OEHI,5,0.00017867991280420256
GID complex,hirsuti-OEHI,5,0.00017867991280420256
MLL1 complex,hirsuti-OEHI,5,0.00017867991280420256
Mre11 complex,hirsuti-OEHI,5,0.00017867991280420256
SAM complex,hirsuti-OEHI,5,0.00017867991280420256
SLIK (SAGA-like) complex,hirsuti-OEHI,5,0.00017867991280420256
Sec62/Sec63 complex,hirsuti-OEHI,5,0.00017867991280420256
actin cortical patch,hirsuti-OEHI,5,0.00017867991280420256
box H/ACA snoRNP complex,hirsuti-OEHI,5,0.00017867991280420256
chloroplast ribosome,hirsuti-OEHI,5,0.00017867991280420256
cilium,hirsuti-OEHI,5,0.00017867991280420256
cortical endoplasmic reticulum,hirsuti-OEHI,5,0.00017867991280420256
cortical microtubule cytoskeleton,hirsuti-OEHI,5,0.00017867991280420256
cyclin/CDK positive transcription elongation factor complex,hirsuti-OEHI,5,0.00017867991280420256
cytochrome b6f complex,hirsuti-OEHI,5,0.00017867991280420256
cytoplasmic dynein complex,hirsuti-OEHI,5,0.00017867991280420256
delta DNA polymerase complex,hirsuti-OEHI,5,0.00017867991280420256
endolysosome membrane,hirsuti-OEHI,5,0.00017867991280420256
epsilon DNA polymerase complex,hirsuti-OEHI,5,0.00017867991280420256
"eukaryotic translation initiation factor 3 complex, eIF3m",hirsuti-OEHI,5,0.00017867991280420256
focal adhesion,hirsuti-OEHI,5,0.00017867991280420256
fungal-type vacuole membrane,hirsuti-OEHI,5,0.00017867991280420256
glutamatergic synapse,hirsuti-OEHI,5,0.00017867991280420256
interchromatin granule,hirsuti-OEHI,5,0.00017867991280420256
lateral plasma membrane,hirsuti-OEHI,5,0.00017867991280420256
lytic vacuole,hirsuti-OEHI,5,0.00017867991280420256
mRNA cap binding complex,hirsuti-OEHI,5,0.00017867991280420256
membrane raft,hirsuti-OEHI,5,0.00017867991280420256
mitochondrial alpha-ketoglutarate dehydrogenase complex,hirsuti-OEHI,5,0.00017867991280420256
mitochondrial pyruvate dehydrogenase complex,hirsuti-OEHI,5,0.00017867991280420256
neuromuscular junction,hirsuti-OEHI,5,0.00017867991280420256
nuclear cap binding complex,hirsuti-OEHI,5,0.00017867991280420256
nuclear inner membrane,hirsuti-OEHI,5,0.00017867991280420256
nuclear pericentric heterochromatin,hirsuti-OEHI,5,0.00017867991280420256
nucleoid,hirsuti-OEHI,5,0.00017867991280420256
peroxisomal matrix,hirsuti-OEHI,5,0.00017867991280420256
phosphopyruvate hydratase complex,hirsuti-OEHI,5,0.00017867991280420256
plastid membrane,hirsuti-OEHI,5,0.00017867991280420256
plastid outer membrane,hirsuti-OEHI,5,0.00017867991280420256
protein kinase CK2 complex,hirsuti-OEHI,5,0.00017867991280420256
ribonucleoside-diphosphate reductase complex,hirsuti-OEHI,5,0.00017867991280420256
synapse,hirsuti-OEHI,5,0.00017867991280420256
telomerase holoenzyme complex,hirsuti-OEHI,5,0.00017867991280420256
vacuolar lumen,hirsuti-OEHI,5,0.00017867991280420256
AP-4 adaptor complex,hirsuti-OEHI,4,0.00014294393024336205
Ada2/Gcn5/Ada3 transcription activator complex,hirsuti-OEHI,4,0.00014294393024336205
CAF-1 complex,hirsuti-OEHI,4,0.00014294393024336205
COPI-coated Golgi to ER transport vesicle,hirsuti-OEHI,4,0.00014294393024336205
COPI-coated vesicle,hirsuti-OEHI,4,0.00014294393024336205
CURI complex,hirsuti-OEHI,4,0.00014294393024336205
Cul3-RING ubiquitin ligase complex,hirsuti-OEHI,4,0.00014294393024336205
MOZ/MORF histone acetyltransferase complex,hirsuti-OEHI,4,0.00014294393024336205
MutSalpha complex,hirsuti-OEHI,4,0.00014294393024336205
Noc1p-Noc2p complex,hirsuti-OEHI,4,0.00014294393024336205
Noc2p-Noc3p complex,hirsuti-OEHI,4,0.00014294393024336205
RISC complex,hirsuti-OEHI,4,0.00014294393024336205
"RNA polymerase II, holoenzyme",hirsuti-OEHI,4,0.00014294393024336205
Rab-protein geranylgeranyltransferase complex,hirsuti-OEHI,4,0.00014294393024336205
Sin3-type complex,hirsuti-OEHI,4,0.00014294393024336205
U6 snRNP,hirsuti-OEHI,4,0.00014294393024336205
U7 snRNP,hirsuti-OEHI,4,0.00014294393024336205
UTP-C complex,hirsuti-OEHI,4,0.00014294393024336205
activating signal cointegrator 1 complex,hirsuti-OEHI,4,0.00014294393024336205
aminoacyl-tRNA synthetase multienzyme complex,hirsuti-OEHI,4,0.00014294393024336205
azurophil granule membrane,hirsuti-OEHI,4,0.00014294393024336205
cAMP-dependent protein kinase complex,hirsuti-OEHI,4,0.00014294393024336205
cell body,hirsuti-OEHI,4,0.00014294393024336205
centriolar satellite,hirsuti-OEHI,4,0.00014294393024336205
cleavage furrow,hirsuti-OEHI,4,0.00014294393024336205
cohesin complex,hirsuti-OEHI,4,0.00014294393024336205
"condensed chromosome, centromeric region",hirsuti-OEHI,4,0.00014294393024336205
contractile fiber,hirsuti-OEHI,4,0.00014294393024336205
"cortical microtubule, transverse to long axis",hirsuti-OEHI,4,0.00014294393024336205
endoplasmic reticulum tubular network,hirsuti-OEHI,4,0.00014294393024336205
fatty acid synthase complex,hirsuti-OEHI,4,0.00014294393024336205
gamma-tubulin small complex,hirsuti-OEHI,4,0.00014294393024336205
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,hirsuti-OEHI,4,0.00014294393024336205
integral component of endosome membrane,hirsuti-OEHI,4,0.00014294393024336205
integral component of postsynaptic membrane,hirsuti-OEHI,4,0.00014294393024336205
intracellular,hirsuti-OEHI,4,0.00014294393024336205
intrinsic component of endoplasmic reticulum membrane,hirsuti-OEHI,4,0.00014294393024336205
kinetochore microtubule,hirsuti-OEHI,4,0.00014294393024336205
mitochondrial outer membrane translocase complex,hirsuti-OEHI,4,0.00014294393024336205
mitotic checkpoint complex,hirsuti-OEHI,4,0.00014294393024336205
nuclear condensin complex,hirsuti-OEHI,4,0.00014294393024336205
nuclear pore cytoplasmic filaments,hirsuti-OEHI,4,0.00014294393024336205
nuclear proteasome complex,hirsuti-OEHI,4,0.00014294393024336205
nuclear replication fork,hirsuti-OEHI,4,0.00014294393024336205
nucleotide-excision repair factor 1 complex,hirsuti-OEHI,4,0.00014294393024336205
oxoglutarate dehydrogenase complex,hirsuti-OEHI,4,0.00014294393024336205
peribacteroid membrane,hirsuti-OEHI,4,0.00014294393024336205
plastid inner membrane,hirsuti-OEHI,4,0.00014294393024336205
potassium channel complex,hirsuti-OEHI,4,0.00014294393024336205
primary cell wall,hirsuti-OEHI,4,0.00014294393024336205
prospore membrane,hirsuti-OEHI,4,0.00014294393024336205
protein serine/threonine phosphatase complex,hirsuti-OEHI,4,0.00014294393024336205
"proton-transporting V-type ATPase, V1 domain",hirsuti-OEHI,4,0.00014294393024336205
retrotransposon nucleocapsid,hirsuti-OEHI,4,0.00014294393024336205
ribonuclease MRP complex,hirsuti-OEHI,4,0.00014294393024336205
small nuclear ribonucleoprotein complex,hirsuti-OEHI,4,0.00014294393024336205
stromal side of plastid thylakoid membrane,hirsuti-OEHI,4,0.00014294393024336205
transcription export complex 2,hirsuti-OEHI,4,0.00014294393024336205
transcription factor TFIIA complex,hirsuti-OEHI,4,0.00014294393024336205
transcription factor TFIIIB complex,hirsuti-OEHI,4,0.00014294393024336205
transcription preinitiation complex,hirsuti-OEHI,4,0.00014294393024336205
transcription repressor complex,hirsuti-OEHI,4,0.00014294393024336205
tricarboxylic acid cycle enzyme complex,hirsuti-OEHI,4,0.00014294393024336205
tubulin complex,hirsuti-OEHI,4,0.00014294393024336205
"vacuolar proton-transporting V-type ATPase, V1 domain",hirsuti-OEHI,4,0.00014294393024336205
AP-3 adaptor complex,hirsuti-OEHI,3,0.00010720794768252153
ASTRA complex,hirsuti-OEHI,3,0.00010720794768252153
BRISC complex,hirsuti-OEHI,3,0.00010720794768252153
CAAX-protein geranylgeranyltransferase complex,hirsuti-OEHI,3,0.00010720794768252153
CIA complex,hirsuti-OEHI,3,0.00010720794768252153
DNA ligase IV complex,hirsuti-OEHI,3,0.00010720794768252153
DNA polymerase complex,hirsuti-OEHI,3,0.00010720794768252153
DSIF complex,hirsuti-OEHI,3,0.00010720794768252153
EARP complex,hirsuti-OEHI,3,0.00010720794768252153
Fanconi anaemia nuclear complex,hirsuti-OEHI,3,0.00010720794768252153
GINS complex,hirsuti-OEHI,3,0.00010720794768252153
Golgi cisterna,hirsuti-OEHI,3,0.00010720794768252153
Hrd1p ubiquitin ligase ERAD-L complex,hirsuti-OEHI,3,0.00010720794768252153
Ku70:Ku80 complex,hirsuti-OEHI,3,0.00010720794768252153
Lsm1-7-Pat1 complex,hirsuti-OEHI,3,0.00010720794768252153
Mpp10 complex,hirsuti-OEHI,3,0.00010720794768252153
NSL complex,hirsuti-OEHI,3,0.00010720794768252153
NatC complex,hirsuti-OEHI,3,0.00010720794768252153
RNA polymerase IV transcription regulator complex,hirsuti-OEHI,3,0.00010720794768252153
RQC complex,hirsuti-OEHI,3,0.00010720794768252153
SUMO activating enzyme complex,hirsuti-OEHI,3,0.00010720794768252153
TAT protein transport complex,hirsuti-OEHI,3,0.00010720794768252153
TOC-TIC supercomplex I,hirsuti-OEHI,3,0.00010720794768252153
UBC13-MMS2 complex,hirsuti-OEHI,3,0.00010720794768252153
UFD1-NPL4 complex,hirsuti-OEHI,3,0.00010720794768252153
Z disc,hirsuti-OEHI,3,0.00010720794768252153
aggresome,hirsuti-OEHI,3,0.00010720794768252153
azurophil granule lumen,hirsuti-OEHI,3,0.00010720794768252153
basal part of cell,hirsuti-OEHI,3,0.00010720794768252153
caveola,hirsuti-OEHI,3,0.00010720794768252153
cell leading edge,hirsuti-OEHI,3,0.00010720794768252153
cell septum,hirsuti-OEHI,3,0.00010720794768252153
chromosomal region,hirsuti-OEHI,3,0.00010720794768252153
chromosome passenger complex,hirsuti-OEHI,3,0.00010720794768252153
clathrin-coated endocytic vesicle,hirsuti-OEHI,3,0.00010720794768252153
collagen-containing extracellular matrix,hirsuti-OEHI,3,0.00010720794768252153
"condensed nuclear chromosome, centromeric region",hirsuti-OEHI,3,0.00010720794768252153
cyanelle,hirsuti-OEHI,3,0.00010720794768252153
dense core granule membrane,hirsuti-OEHI,3,0.00010720794768252153
etioplast stroma,hirsuti-OEHI,3,0.00010720794768252153
eukaryotic translation elongation factor 1 complex,hirsuti-OEHI,3,0.00010720794768252153
extrinsic component of Golgi membrane,hirsuti-OEHI,3,0.00010720794768252153
extrinsic component of cytoplasmic side of plasma membrane,hirsuti-OEHI,3,0.00010720794768252153
extrinsic component of plasma membrane,hirsuti-OEHI,3,0.00010720794768252153
ficolin-1-rich granule lumen,hirsuti-OEHI,3,0.00010720794768252153
ficolin-1-rich granule membrane,hirsuti-OEHI,3,0.00010720794768252153
filiform apparatus,hirsuti-OEHI,3,0.00010720794768252153
growing cell tip,hirsuti-OEHI,3,0.00010720794768252153
growth cone,hirsuti-OEHI,3,0.00010720794768252153
host cell cytoplasm,hirsuti-OEHI,3,0.00010720794768252153
integral component of chloroplast inner membrane,hirsuti-OEHI,3,0.00010720794768252153
integral component of lysosomal membrane,hirsuti-OEHI,3,0.00010720794768252153
integral component of thylakoid membrane,hirsuti-OEHI,3,0.00010720794768252153
integrator complex,hirsuti-OEHI,3,0.00010720794768252153
intercellular bridge,hirsuti-OEHI,3,0.00010720794768252153
intracellular vesicle,hirsuti-OEHI,3,0.00010720794768252153
leucoplast,hirsuti-OEHI,3,0.00010720794768252153
lysosomal lumen,hirsuti-OEHI,3,0.00010720794768252153
male germ cell nucleus,hirsuti-OEHI,3,0.00010720794768252153
membrane coat,hirsuti-OEHI,3,0.00010720794768252153
microtubule end,hirsuti-OEHI,3,0.00010720794768252153
microtubule plus-end,hirsuti-OEHI,3,0.00010720794768252153
minus-end kinesin complex,hirsuti-OEHI,3,0.00010720794768252153
mitochondrial degradosome,hirsuti-OEHI,3,0.00010720794768252153
mitochondrial oxoglutarate dehydrogenase complex,hirsuti-OEHI,3,0.00010720794768252153
molybdopterin synthase complex,hirsuti-OEHI,3,0.00010720794768252153
multimeric ribonuclease P complex,hirsuti-OEHI,3,0.00010720794768252153
nuclear telomere cap complex,hirsuti-OEHI,3,0.00010720794768252153
nucleotide-excision repair complex,hirsuti-OEHI,3,0.00010720794768252153
nucleus-vacuole junction,hirsuti-OEHI,3,0.00010720794768252153
plasma membrane of cell tip,hirsuti-OEHI,3,0.00010720794768252153
polar nucleus,hirsuti-OEHI,3,0.00010720794768252153
protein phosphatase 4 complex,hirsuti-OEHI,3,0.00010720794768252153
"proton-transporting two-sector ATPase complex, catalytic domain",hirsuti-OEHI,3,0.00010720794768252153
pyruvate dehydrogenase complex,hirsuti-OEHI,3,0.00010720794768252153
ribonuclease P complex,hirsuti-OEHI,3,0.00010720794768252153
rough endoplasmic reticulum,hirsuti-OEHI,3,0.00010720794768252153
rough endoplasmic reticulum membrane,hirsuti-OEHI,3,0.00010720794768252153
sperm connecting piece,hirsuti-OEHI,3,0.00010720794768252153
sperm flagellum,hirsuti-OEHI,3,0.00010720794768252153
spindle pole centrosome,hirsuti-OEHI,3,0.00010720794768252153
symbiont-containing vacuole membrane,hirsuti-OEHI,3,0.00010720794768252153
synaptonemal complex,hirsuti-OEHI,3,0.00010720794768252153
t-UTP complex,hirsuti-OEHI,3,0.00010720794768252153
tRNA (m1A) methyltransferase complex,hirsuti-OEHI,3,0.00010720794768252153
transcriptionally active chromatin,hirsuti-OEHI,3,0.00010720794768252153
unconventional myosin complex,hirsuti-OEHI,3,0.00010720794768252153
varicosity,hirsuti-OEHI,3,0.00010720794768252153
AP-type membrane coat adaptor complex,hirsuti-OEHI,2,7.147196512168103e-05
Atg12-Atg5-Atg16 complex,hirsuti-OEHI,2,7.147196512168103e-05
BLOC-1 complex,hirsuti-OEHI,2,7.147196512168103e-05
CST complex,hirsuti-OEHI,2,7.147196512168103e-05
Ctf18 RFC-like complex,hirsuti-OEHI,2,7.147196512168103e-05
DUBm complex,hirsuti-OEHI,2,7.147196512168103e-05
ESCRT-0 complex,hirsuti-OEHI,2,7.147196512168103e-05
F-actin capping protein complex,hirsuti-OEHI,2,7.147196512168103e-05
FANCM-MHF complex,hirsuti-OEHI,2,7.147196512168103e-05
GET complex,hirsuti-OEHI,2,7.147196512168103e-05
MLL3/4 complex,hirsuti-OEHI,2,7.147196512168103e-05
Mon1-Ccz1 complex,hirsuti-OEHI,2,7.147196512168103e-05
MutLalpha complex,hirsuti-OEHI,2,7.147196512168103e-05
NLS-dependent protein nuclear import complex,hirsuti-OEHI,2,7.147196512168103e-05
NatA complex,hirsuti-OEHI,2,7.147196512168103e-05
NatB complex,hirsuti-OEHI,2,7.147196512168103e-05
Noc4p-Nop14p complex,hirsuti-OEHI,2,7.147196512168103e-05
Nrd1 complex,hirsuti-OEHI,2,7.147196512168103e-05
PCNA complex,hirsuti-OEHI,2,7.147196512168103e-05
RNA nuclear export complex,hirsuti-OEHI,2,7.147196512168103e-05
RZZ complex,hirsuti-OEHI,2,7.147196512168103e-05
Rad51B-Rad51C-Rad51D-XRCC2 complex,hirsuti-OEHI,2,7.147196512168103e-05
SAGA-type complex,hirsuti-OEHI,2,7.147196512168103e-05
SMN complex,hirsuti-OEHI,2,7.147196512168103e-05
SPOTS complex,hirsuti-OEHI,2,7.147196512168103e-05
